Date,Open,High,Low,Close,Adj Close,Volume
2012-07-16,0.977170,0.980010,0.957390,0.966180,0.966180,0
2012-07-23,0.967150,0.981170,0.953380,0.955090,0.955090,0
2012-07-30,0.955570,0.957850,0.945270,0.946060,0.946060,0
2012-08-06,0.946970,0.952350,0.942250,0.946940,0.946940,0
2012-08-13,0.947620,0.960250,0.945860,0.959050,0.959050,0
2012-08-20,0.958150,0.963390,0.948480,0.959710,0.959710,0
2012-08-27,0.961150,0.973140,0.959670,0.970980,0.970980,0
2012-09-03,0.973500,0.983280,0.961350,0.964410,0.964410,0
2012-09-10,0.964970,0.968550,0.941340,0.948950,0.948950,0
2012-09-17,0.949040,0.964350,0.948090,0.957210,0.957210,0
2012-09-24,0.958280,0.967880,0.954650,0.965520,0.965520,0
2012-10-01,0.965930,0.984540,0.961130,0.983670,0.983670,0
2012-10-08,0.983530,0.984930,0.971110,0.977540,0.977540,0
2012-10-15,0.977650,0.980020,0.960250,0.968810,0.968810,0
2012-10-22,0.970210,0.976820,0.961630,0.966090,0.966090,0
2012-10-29,0.964560,0.968000,0.960150,0.966650,0.966650,0
2012-11-05,0.966810,0.967400,0.954110,0.962580,0.962580,0
2012-11-12,0.962000,0.970780,0.956020,0.964880,0.964880,0
2012-11-19,0.965200,0.967160,0.955290,0.956440,0.956440,0
2012-11-26,0.956110,0.961170,0.953020,0.959070,0.959070,0
2012-12-03,0.959050,0.962090,0.951090,0.954210,0.954210,0
2012-12-10,0.953780,0.955620,0.945810,0.947360,0.947360,0
2012-12-17,0.947330,0.962190,0.946970,0.961630,0.961630,0
2012-12-24,0.961960,0.966410,0.955660,0.962370,0.962370,0
2012-12-31,0.962240,0.964660,0.949860,0.952870,0.952870,0
2013-01-07,0.952770,0.955210,0.944140,0.949110,0.949110,0
2013-01-14,0.948860,0.953560,0.945090,0.951910,0.951910,0
2013-01-21,0.951980,0.960380,0.945180,0.960170,0.960170,0
2013-01-28,0.960490,0.965040,0.954290,0.959230,0.959230,0
2013-02-04,0.959220,0.974760,0.956180,0.968150,0.968150,0
2013-02-11,0.968990,0.977670,0.963930,0.970990,0.970990,0
2013-02-18,0.971060,0.977650,0.964410,0.971350,0.971350,0
2013-02-25,0.971010,0.981850,0.967960,0.980990,0.980990,0
2013-03-04,0.980720,0.988380,0.971060,0.978860,0.978860,0
2013-03-11,0.978950,0.979200,0.960150,0.965050,0.965050,0
2013-03-18,0.965790,0.966540,0.955840,0.956680,0.956680,0
2013-03-25,0.956930,0.961620,0.952560,0.960730,0.960730,0
2013-04-01,0.960330,0.965470,0.952550,0.964140,0.964140,0
2013-04-08,0.966010,0.966010,0.944830,0.951310,0.951310,0
2013-04-15,0.951490,0.973620,0.950210,0.972540,0.972540,0
2013-04-22,0.973250,0.978210,0.967170,0.972270,0.972270,0
2013-04-29,0.972490,0.978210,0.963020,0.970380,0.970380,0
2013-05-06,0.970970,1.003800,0.970120,1.000000,1.000000,0
2013-05-13,1.001500,1.029600,0.998900,1.026600,1.026600,0
2013-05-20,1.024200,1.041400,1.016300,1.037100,1.037100,0
2013-05-27,1.037900,1.049300,1.031200,1.040500,1.040500,0
2013-06-03,1.039400,1.064300,1.022980,1.061700,1.061700,0
2013-06-10,1.061800,1.071900,1.036100,1.044300,1.044300,0
2013-06-17,1.044000,1.091100,1.037300,1.082400,1.082400,0
2013-06-24,1.082500,1.097300,1.070100,1.095500,1.095500,0
2013-07-01,1.095300,1.106400,1.081000,1.102700,1.102700,0
2013-07-08,1.104000,1.109600,1.074700,1.102400,1.102400,0
2013-07-15,1.101600,1.110700,1.076200,1.087200,1.087200,0
2013-07-22,1.084740,1.094600,1.073690,1.077800,1.077800,0
2013-07-29,1.080500,1.126200,1.076800,1.122600,1.122600,0
2013-08-05,1.122600,1.129840,1.084800,1.088000,1.088000,0
