Back to Contents,Data 1: U.S. Refinery and Blender Net Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,MTTRPUS1,MNGRPUS1,M_EPL2_YPR_NUS_MBBL,MENRPUS1,MPARP_NUS_1,MBURPUS1,MIIRPUS1,M_EPLOLE_YPR_NUS_MBBL,MEYRPUS1,MPLRPUS1,MBYRPUS1,MIYRPUS1,MLPRPUS1,METRPUS1,MPRRPUS1,MBNRPUS1,MBIRPUS1,MGFRPUS1,MGRRPUS1,MG1RP_NUS_1,M_EPM0RO_YPR_NUS_MBBL,MG4RP_NUS_1,MG5RP_NUS_1,M_EPM0CAL55_YPR_NUS_MBBL,M_EPM0CAG55_YPR_NUS_MBBL,MG6RP_NUS_1,MGARPUS1,MKJRPUS1,MKERPUS1,MDIRPUS1,MD0RP_NUS_1,MD1RP_NUS_1,MDGRPUS1,MRERPUS1,MRLRPUS1,MRMRPUS1,MRGRPUS1,MPCRPUS1,MNFRPUS1,MOTRPUS1,MNSRPUS1,MLURPUS1,MWXRPUS1,MCKRPUS1,MCMRPUS1,MCORPUS1,MAPRPUS1,MSGRPUS1,MMSRPUS1,MPGRPUS1,
1996,5974675,242465,,8172,135110,37843,2727,,2382,55074,-174,1331,242465,10554,190184,37669,4058,2768619,812750,,,1955869,,,,,7279,553729,22758,1213563,,762633,450930,265544,25699,71824,168021,143283,70060,73223,18206,63346,9380,242985,158851,84134,167823,239515,15412,-306443,
1997,6116870,252168,,7843,133557,31985,3039,,1830,72537,217,1160,252168,9673,206094,32202,4199,2826051,878200,,,1947851,,,,,7248,567054,23887,1238041,,789287,448754,258290,26090,75334,156866,163099,83560,79539,19191,65899,8372,251619,167325,84294,177019,241184,17507,-310078,
1998,6216008,245918,,9479,133940,27277,2914,,1965,66875,2056,1412,245918,11444,200815,29333,4326,2880521,906419,,,1974102,,,,,7118,556664,27848,1249881,,813970,435911,277957,25633,73657,178667,168034,89176,78858,24263,67263,8355,260061,174081,85980,181910,239539,20506,-323447,
1999,6201141,249574,,7742,134124,29236,1908,,2094,73455,-20,1035,249574,9836,207579,29216,2943,2895989,936002,,,1959987,,,,,7452,571074,24353,1240783,,841998,398785,254839,24550,65925,164364,148537,69718,78819,31396,66784,7075,260115,173361,86754,184280,239520,19173,-323490,
2000,6310904,257984,,6510,133857,29838,916,,2136,79548,3980,1199,257984,8646,213405,33818,2115,2910056,939493,,,1970563,,,,,6543,587899,23860,1310158,,905064,405094,254843,24192,69376,161275,145801,74039,71762,21868,65687,6478,266107,178151,87956,192223,241365,19957,-346892,
2001,6309000,243322,,5457,128516,28819,-1551,,1834,74605,4718,924,243322,7291,203121,33537,-627,2928050,947745,,,1980305,,,,,6522,558230,26679,1348525,,955247,393278,263017,25052,63061,174904,122406,60729,61677,18334,63961,6523,280077,192901,87176,177189,244432,21644,-329663,
2002,6304620,244900,,6923,126808,20387,-1982,,2246,82101,7327,1090,244900,9169,208909,27714,-892,2986747,981978,,,2004769,,,,,6353,552511,20772,1311151,,951087,360064,219445,26330,52104,141011,142917,88003,54914,18812,63352,6322,285226,198152,87074,179715,243517,22808,-349145,
2003,6382794,240082,,6054,124525,26352,-4266,,1522,83433,1807,655,240082,7576,207958,28159,-3611,2990949,990851,,,2000098,,,,,5757,543345,20421,1353138,,992571,360567,240871,29316,59834,151721,150770,84395,66375,19231,60730,5739,291376,203082,88294,181120,256051,23420,-355542,
2004,6519753,235975,,5663,124670,22188,-7451,,2592,89080,-1235,468,235975,8255,213750,20953,-6983,3025128,1040822,,,1984306,,,,,6209,566164,23409,1396037,7247,1034809,353981,239907,29816,51422,158669,170055,93796,76259,16377,64115,5530,306065,217284,88781,185921,257689,21172,-384698,
2005,6497015,209029,,4784,113604,13838,-11133,,2481,83652,1751,52,209029,7265,197256,15589,-11081,3035889,1057896,648648,,1977993,350716,,,1627277,6167,564226,23933,1443348,8456,1061935,372957,229074,27649,51843,149582,141948,78286,63662,14009,61238,5808,304730,217502,87228,186736,249514,21366,-361131,
2006,6560912,228960,,5170,110110,26098,-926,,1605,88080,-1791,614,228960,6775,198190,24307,-312,3052754,1068929,960489,,1983825,371611,,,1612214,6578,540556,17306,1474741,555524,575708,343509,231888,30660,54648,146580,143859,71548,72311,13230,66799,5387,309431,219398,90033,184711,258893,25819,-362810,
2007,6567929,238904,,5145,120596,25715,1462,,2178,84583,-1430,655,238904,7323,205179,24285,2117,3050614,1073665,1063598,,1976949,464069,,,1512880,5974,528476,13034,1508530,1036873,234311,237346,245521,29526,49809,166186,145663,73034,72629,15236,65241,4504,300570,213203,87367,166270,254476,24916,-363429,
